id,full_name,email,course,enrollment_date,gpa,status,created_at
262,Student 0262,student0262@university.edu,PHYS301,2025-09-14,3.29,active,2026-03-13T17:41:32.307679Z
263,Student 0263,student0263@university.edu,PHYS301,2025-07-21,3.92,active,2026-03-16T17:41:32.307679Z
264,Student 0264,student0264@university.edu,CS101,2025-09-13,3.77,active,2026-03-12T17:41:32.307679Z
265,Student 0265,student0265@university.edu,CS101,2025-09-17,2.83,active,2026-03-16T17:41:32.307679Z
266,Student 0266,student0266@university.edu,PHYS301,2025-08-17,3.52,active,2026-03-19T17:41:32.307679Z
267,Student 0267,student0267@university.edu,BIO110,2025-09-25,3.68,active,2026-03-17T17:41:32.307679Z
268,Student 0268,student0268@university.edu,CS101,2025-07-30,3.72,inactive,2026-03-12T17:41:32.307679Z
269,Student 0269,student0269@university.edu,BIO110,2025-11-04,2.69,active,2026-03-18T17:41:32.307679Z
270,Student 0270,student0270@university.edu,ENG202,2025-07-28,3.08,active,2026-03-18T17:41:32.307679Z
271,Student 0271,student0271@university.edu,PHYS301,2025-10-10,1.5,active,2026-03-19T17:41:32.307679Z
272,Student 0272,student0272@university.edu,PHYS301,2025-10-17,4.0,active,2026-03-13T17:41:32.307679Z
273,Student 0273,student0273@university.edu,MATH201,2025-07-20,2.17,active,2026-03-16T17:41:32.307679Z
274,Student 0274,student0274@university.edu,PHYS301,2025-09-13,2.48,active,2026-03-14T17:41:32.307679Z
275,Student 0275,student0275@university.edu,CS101,2025-07-01,2.34,active,2026-03-17T17:41:32.307679Z
276,Student 0276,student0276@university.edu,PHYS301,2025-05-27,2.27,active,2026-03-15T17:41:32.307679Z
277,Student 0277,student0277@university.edu,CS101,2025-10-02,2.98,active,2026-03-13T17:41:32.307679Z
278,Student 0278,student0278@university.edu,MATH201,2025-06-01,3.49,active,2026-03-19T17:41:32.307679Z
279,Student 0279,student0279@university.edu,ENG202,2025-05-28,2.26,inactive,2026-03-17T17:41:32.307679Z
280,Student 0280,student0280@university.edu,MATH201,2025-07-19,2.16,active,2026-03-19T17:41:32.307679Z
281,Student 0281,student0281@university.edu,PHYS301,2025-08-30,2.37,active,2026-03-19T17:41:32.307679Z
282,Student 0282,student0282@university.edu,BIO110,2025-10-30,2.6,active,2026-03-16T17:41:32.307679Z
283,Student 0283,student0283@university.edu,CS101,2025-05-27,4.0,active,2026-03-18T17:41:32.307679Z
284,Student 0284,student0284@university.edu,BIO110,2025-06-13,1.82,active,2026-03-12T17:41:32.307679Z
285,Student 0285,student0285@university.edu,BIO110,2025-06-15,2.59,active,2026-03-14T17:41:32.307679Z
286,Student 0286,student0286@university.edu,CS101,2025-07-16,2.43,active,2026-03-17T17:41:32.307679Z
287,Student 0287,student0287@university.edu,CS101,2025-07-02,2.86,active,2026-03-19T17:41:32.307679Z
288,Student 0288,student0288@university.edu,ENG202,2025-06-28,2.82,active,2026-03-17T17:41:32.307679Z
289,Student 0289,student0289@university.edu,PHYS301,2025-08-28,1.95,active,2026-03-12T17:41:32.307679Z
290,Student 0290,student0290@university.edu,PHYS301,2025-10-23,3.9,active,2026-03-18T17:41:32.307679Z
291,Student 0291,student0291@university.edu,PHYS301,2025-09-05,2.81,inactive,2026-03-14T17:41:32.307679Z
292,Student 0292,student0292@university.edu,PHYS301,2025-10-19,1.85,active,2026-03-14T17:41:32.307679Z
293,Student 0293,student0293@university.edu,PHYS301,2025-08-21,4.0,active,2026-03-13T17:41:32.307679Z
294,Student 0294,student0294@university.edu,PHYS301,2025-06-18,2.75,active,2026-03-17T17:41:32.307679Z
295,Student 0295,student0295@university.edu,MATH201,2025-05-21,2.43,dropout,2026-03-13T17:41:32.307679Z
296,Student 0296,student0296@university.edu,BIO110,2025-07-01,1.5,active,2026-03-17T17:41:32.307679Z
297,Student 0297,student0297@university.edu,PHYS301,2025-09-23,3.7,active,2026-03-15T17:41:32.307679Z
298,Student 0298,student0298@university.edu,MATH201,2025-10-04,2.78,active,2026-03-16T17:41:32.307679Z
299,Student 0299,student0299@university.edu,CS101,2025-07-02,3.2,inactive,2026-03-12T17:41:32.307679Z
300,Student 0300,student0300@university.edu,PHYS301,2025-06-03,1.5,active,2026-03-18T17:41:32.307679Z
301,Student 0301,student0301@university.edu,MATH201,2025-09-28,3.52,active,2026-03-14T17:41:32.307679Z
302,Student 0302,student0302@university.edu,BIO110,2025-10-28,4.0,active,2026-03-15T17:41:32.307679Z
303,Student 0303,student0303@university.edu,BIO110,2025-06-05,2.71,active,2026-03-15T17:41:32.307679Z
304,Student 0304,student0304@university.edu,PHYS301,2025-07-11,4.0,inactive,2026-03-15T17:41:32.307679Z
305,Student 0305,student0305@university.edu,PHYS301,2025-05-19,4.0,active,2026-03-16T17:41:32.307679Z
306,Student 0306,student0306@university.edu,BIO110,2025-07-03,2.25,active,2026-03-14T17:41:32.307679Z
307,Student 0307,student0307@university.edu,MATH201,2025-06-07,3.39,active,2026-03-17T17:41:32.307679Z
308,Student 0308,student0308@university.edu,ENG202,2025-10-13,3.46,active,2026-03-13T17:41:32.307679Z
309,Student 0309,student0309@university.edu,PHYS301,2025-10-18,3.05,inactive,2026-03-14T17:41:32.307679Z
310,Student 0310,student0310@university.edu,BIO110,2025-10-16,2.36,inactive,2026-03-15T17:41:32.307679Z
311,Student 0311,student0311@university.edu,BIO110,2025-08-11,3.75,active,2026-03-17T17:41:32.307679Z
312,Student 0312,student0312@university.edu,MATH201,2025-08-02,2.65,dropout,2026-03-17T17:41:32.307679Z
313,Student 0313,student0313@university.edu,MATH201,2025-11-01,2.85,active,2026-03-17T17:41:32.307679Z
314,Student 0314,student0314@university.edu,MATH201,2025-10-04,3.33,active,2026-03-19T17:41:32.307679Z
315,Student 0315,student0315@university.edu,MATH201,2025-05-12,1.91,inactive,2026-03-12T17:41:32.307679Z
316,Student 0316,student0316@university.edu,PHYS301,2025-09-14,3.21,active,2026-03-18T17:41:32.307679Z
317,Student 0317,student0317@university.edu,CS101,2025-08-27,3.03,active,2026-03-19T17:41:32.307679Z
318,Student 0318,student0318@university.edu,CS101,2025-10-11,3.41,active,2026-03-19T17:41:32.307679Z
319,Student 0319,student0319@university.edu,ENG202,2025-06-24,3.96,active,2026-03-14T17:41:32.307679Z
320,Student 0320,student0320@university.edu,PHYS301,2025-07-22,3.1,active,2026-03-17T17:41:32.307679Z
321,Student 0321,student0321@university.edu,MATH201,2025-06-15,1.98,active,2026-03-17T17:41:32.307679Z
322,Student 0322,student0322@university.edu,CS101,2025-06-27,3.59,active,2026-03-12T17:41:32.307679Z
323,Student 0323,student0323@university.edu,BIO110,2025-07-11,3.76,active,2026-03-12T17:41:32.307679Z
324,Student 0324,student0324@university.edu,PHYS301,2025-10-22,3.21,active,2026-03-13T17:41:32.307679Z
325,Student 0325,student0325@university.edu,ENG202,2025-08-15,3.5,active,2026-03-14T17:41:32.307679Z
326,Student 0326,student0326@university.edu,BIO110,2025-05-14,3.55,active,2026-03-14T17:41:32.307679Z
327,Student 0327,student0327@university.edu,MATH201,2025-10-23,2.59,active,2026-03-15T17:41:32.307679Z
328,Student 0328,student0328@university.edu,CS101,2025-09-18,1.5,inactive,2026-03-17T17:41:32.307679Z
329,Student 0329,student0329@university.edu,PHYS301,2025-06-30,1.82,active,2026-03-12T17:41:32.307679Z
330,Student 0330,student0330@university.edu,MATH201,2025-08-27,3.88,active,2026-03-12T17:41:32.307679Z
331,Student 0331,student0331@university.edu,PHYS301,2025-08-31,3.54,inactive,2026-03-19T17:41:32.307679Z
332,Student 0332,student0332@university.edu,BIO110,2025-08-14,3.54,dropout,2026-03-19T17:41:32.307679Z
333,Student 0333,student0333@university.edu,BIO110,2025-08-06,3.86,active,2026-03-18T17:41:32.307679Z
334,Student 0334,student0334@university.edu,CS101,2025-07-21,2.56,active,2026-03-14T17:41:32.307679Z
335,Student 0335,student0335@university.edu,ENG202,2025-08-25,2.86,active,2026-03-16T17:41:32.307679Z
336,Student 0336,student0336@university.edu,BIO110,2025-06-07,3.29,active,2026-03-14T17:41:32.307679Z
337,Student 0337,student0337@university.edu,BIO110,2025-08-11,1.78,inactive,2026-03-18T17:41:32.307679Z
338,Student 0338,student0338@university.edu,PHYS301,2025-05-29,3.42,dropout,2026-03-12T17:41:32.307679Z
339,Student 0339,student0339@university.edu,CS101,2025-05-21,2.51,active,2026-03-14T17:41:32.307679Z
340,Student 0340,student0340@university.edu,CS101,2025-10-03,2.42,active,2026-03-19T17:41:32.307679Z
341,Student 0341,student0341@university.edu,CS101,2025-10-07,4.0,active,2026-03-18T17:41:32.307679Z
342,Student 0342,student0342@university.edu,ENG202,2025-10-31,3.57,active,2026-03-19T17:41:32.307679Z
343,Student 0343,student0343@university.edu,PHYS301,2025-08-05,2.7,active,2026-03-17T17:41:32.307679Z
344,Student 0344,student0344@university.edu,BIO110,2025-08-20,3.11,active,2026-03-15T17:41:32.307679Z
345,Student 0345,student0345@university.edu,CS101,2025-11-02,2.92,active,2026-03-13T17:41:32.307679Z
346,Student 0346,student0346@university.edu,PHYS301,2025-09-03,2.06,active,2026-03-15T17:41:32.307679Z
347,Student 0347,student0347@university.edu,ENG202,2025-08-27,2.0,active,2026-03-14T17:41:32.307679Z
348,Student 0348,student0348@university.edu,CS101,2025-07-16,1.5,active,2026-03-19T17:41:32.307679Z
349,Student 0349,student0349@university.edu,CS101,2025-05-18,4.0,active,2026-03-13T17:41:32.307679Z
350,Student 0350,student0350@university.edu,ENG202,2025-06-23,2.52,active,2026-03-16T17:41:32.307679Z
351,Student 0351,student0351@university.edu,MATH201,2025-05-10,2.69,active,2026-03-17T17:41:32.307679Z
352,Student 0352,student0352@university.edu,ENG202,2025-09-12,1.8,active,2026-03-15T17:41:32.307679Z
353,Student 0353,student0353@university.edu,MATH201,2025-09-09,3.05,active,2026-03-17T17:41:32.307679Z
354,Student 0354,student0354@university.edu,BIO110,2025-06-20,2.82,active,2026-03-13T17:41:32.307679Z
355,Student 0355,student0355@university.edu,CS101,2025-08-21,1.98,active,2026-03-18T17:41:32.307679Z
356,Student 0356,student0356@university.edu,BIO110,2025-06-14,3.76,active,2026-03-17T17:41:32.307679Z
357,Student 0357,student0357@university.edu,CS101,2025-07-16,2.06,active,2026-03-14T17:41:32.307679Z
358,Student 0358,student0358@university.edu,MATH201,2025-07-21,3.21,active,2026-03-12T17:41:32.307679Z
359,Student 0359,student0359@university.edu,CS101,2025-06-29,3.27,active,2026-03-15T17:41:32.307679Z
360,Student 0360,student0360@university.edu,PHYS301,2025-06-29,3.39,inactive,2026-03-13T17:41:32.307679Z
361,Student 0361,student0361@university.edu,PHYS301,2025-09-19,2.33,active,2026-03-16T17:41:32.307679Z
362,Student 0362,student0362@university.edu,ENG202,2025-06-25,2.24,active,2026-03-14T17:41:32.307679Z
363,Student 0363,student0363@university.edu,ENG202,2025-06-13,3.66,active,2026-03-17T17:41:32.307679Z
364,Student 0364,student0364@university.edu,ENG202,2025-10-29,3.97,active,2026-03-12T17:41:32.307679Z
365,Student 0365,student0365@university.edu,CS101,2025-10-28,4.0,active,2026-03-15T17:41:32.307679Z
366,Student 0366,student0366@university.edu,ENG202,2025-07-25,2.56,active,2026-03-12T17:41:32.307679Z
367,Student 0367,student0367@university.edu,BIO110,2025-06-01,1.9,active,2026-03-15T17:41:32.307679Z
368,Student 0368,student0368@university.edu,BIO110,2025-08-24,2.68,active,2026-03-12T17:41:32.307679Z
369,Student 0369,student0369@university.edu,MATH201,2025-07-19,2.23,active,2026-03-14T17:41:32.307679Z
370,Student 0370,student0370@university.edu,PHYS301,2025-05-09,3.45,active,2026-03-17T17:41:32.307679Z
371,Student 0371,student0371@university.edu,BIO110,2025-10-06,3.06,active,2026-03-15T17:41:32.307679Z
372,Student 0372,student0372@university.edu,BIO110,2025-10-08,2.04,active,2026-03-15T17:41:32.307679Z
373,Student 0373,student0373@university.edu,MATH201,2025-10-15,4.0,inactive,2026-03-18T17:41:32.307679Z
374,Student 0374,student0374@university.edu,MATH201,2025-09-29,3.6,active,2026-03-17T17:41:32.307679Z
375,Student 0375,student0375@university.edu,MATH201,2025-09-29,2.04,active,2026-03-16T17:41:32.307679Z
376,Student 0376,student0376@university.edu,BIO110,2025-11-03,3.01,active,2026-03-18T17:41:32.307679Z
377,Student 0377,student0377@university.edu,ENG202,2025-07-14,3.54,active,2026-03-12T17:41:32.307679Z
378,Student 0378,student0378@university.edu,PHYS301,2025-07-05,2.88,active,2026-03-19T17:41:32.307679Z
379,Student 0379,student0379@university.edu,PHYS301,2025-06-24,3.38,active,2026-03-16T17:41:32.307679Z
380,Student 0380,student0380@university.edu,PHYS301,2025-07-28,3.02,active,2026-03-18T17:41:32.307679Z
381,Student 0381,student0381@university.edu,CS101,2025-06-16,2.3,active,2026-03-18T17:41:32.307679Z
382,Student 0382,student0382@university.edu,ENG202,2025-07-16,2.71,active,2026-03-16T17:41:32.307679Z
383,Student 0383,student0383@university.edu,ENG202,2025-05-18,2.68,active,2026-03-17T17:41:32.307679Z
384,Student 0384,student0384@university.edu,PHYS301,2025-06-19,2.73,inactive,2026-03-14T17:41:32.307679Z
385,Student 0385,student0385@university.edu,MATH201,2025-06-07,2.06,active,2026-03-14T17:41:32.307679Z
386,Student 0386,student0386@university.edu,PHYS301,2025-07-10,2.95,active,2026-03-14T17:41:32.307679Z
387,Student 0387,student0387@university.edu,ENG202,2025-06-30,4.0,active,2026-03-18T17:41:32.307679Z
388,Student 0388,student0388@university.edu,ENG202,2025-08-24,4.0,active,2026-03-19T17:41:32.307679Z
389,Student 0389,student0389@university.edu,ENG202,2025-08-24,2.86,active,2026-03-13T17:41:32.307679Z
390,Student 0390,student0390@university.edu,BIO110,2025-06-12,3.02,active,2026-03-12T17:41:32.307679Z
391,Student 0391,student0391@university.edu,ENG202,2025-07-10,2.89,dropout,2026-03-15T17:41:32.307679Z
392,Student 0392,student0392@university.edu,CS101,2025-06-12,4.0,active,2026-03-18T17:41:32.307679Z
393,Student 0393,student0393@university.edu,MATH201,2025-05-18,3.05,active,2026-03-15T17:41:32.307679Z
394,Student 0394,student0394@university.edu,CS101,2025-07-19,4.0,active,2026-03-14T17:41:32.307679Z
395,Student 0395,student0395@university.edu,BIO110,2025-05-16,3.27,active,2026-03-19T17:41:32.307679Z
396,Student 0396,student0396@university.edu,CS101,2025-05-12,3.91,active,2026-03-15T17:41:32.307679Z
397,Student 0397,student0397@university.edu,ENG202,2025-08-17,3.91,active,2026-03-14T17:41:32.307679Z
398,Student 0398,student0398@university.edu,BIO110,2025-06-25,2.99,active,2026-03-17T17:41:32.307679Z
399,Student 0399,student0399@university.edu,PHYS301,2025-06-05,1.5,active,2026-03-16T17:41:32.307679Z
400,Student 0400,student0400@university.edu,MATH201,2025-08-24,3.2,active,2026-03-15T17:41:32.307679Z
401,Student 0401,student0401@university.edu,BIO110,2025-08-19,1.98,inactive,2026-03-16T17:41:32.307679Z
402,Student 0402,student0402@university.edu,PHYS301,2025-10-08,3.13,active,2026-03-18T17:41:32.307679Z
403,Student 0403,student0403@university.edu,BIO110,2025-08-12,4.0,active,2026-03-16T17:41:32.307679Z
404,Student 0404,student0404@university.edu,CS101,2025-08-12,2.59,inactive,2026-03-16T17:41:32.307679Z
405,Student 0405,student0405@university.edu,BIO110,2025-09-15,3.3,inactive,2026-03-16T17:41:32.307679Z
406,Student 0406,student0406@university.edu,MATH201,2025-10-12,3.95,active,2026-03-15T17:41:32.307679Z
407,Student 0407,student0407@university.edu,MATH201,2025-10-27,2.52,active,2026-03-12T17:41:32.307679Z
408,Student 0408,student0408@university.edu,CS101,2025-07-26,2.14,active,2026-03-19T17:41:32.307679Z
409,Student 0409,student0409@university.edu,CS101,2025-05-18,3.01,active,2026-03-14T17:41:32.307679Z
410,Student 0410,student0410@university.edu,BIO110,2025-05-25,2.92,inactive,2026-03-19T17:41:32.307679Z
411,Student 0411,student0411@university.edu,BIO110,2025-05-26,3.64,active,2026-03-12T17:41:32.307679Z
412,Student 0412,student0412@university.edu,CS101,2025-05-26,4.0,active,2026-03-12T17:41:32.307679Z
413,Student 0413,student0413@university.edu,MATH201,2025-07-25,3.37,inactive,2026-03-18T17:41:32.307679Z
414,Student 0414,student0414@university.edu,BIO110,2025-09-22,2.66,inactive,2026-03-16T17:41:32.307679Z
415,Student 0415,student0415@university.edu,CS101,2025-11-06,2.67,inactive,2026-03-17T17:41:32.307679Z
416,Student 0416,student0416@university.edu,PHYS301,2025-07-15,4.0,dropout,2026-03-19T17:41:32.307679Z
417,Student 0417,student0417@university.edu,MATH201,2025-07-02,2.49,active,2026-03-14T17:41:32.307679Z
418,Student 0418,student0418@university.edu,BIO110,2025-05-27,3.1,active,2026-03-14T17:41:32.307679Z
419,Student 0419,student0419@university.edu,CS101,2025-08-14,3.26,active,2026-03-14T17:41:32.307679Z
420,Student 0420,student0420@university.edu,ENG202,2025-05-29,2.0,inactive,2026-03-18T17:41:32.307679Z
421,Student 0421,student0421@university.edu,ENG202,2025-08-17,4.0,active,2026-03-14T17:41:32.307679Z
422,Student 0422,student0422@university.edu,BIO110,2025-08-18,3.62,inactive,2026-03-12T17:41:32.307679Z
423,Student 0423,student0423@university.edu,PHYS301,2025-08-02,3.12,dropout,2026-03-16T17:41:32.307679Z
424,Student 0424,student0424@university.edu,ENG202,2025-05-07,4.0,active,2026-03-16T17:41:32.307679Z
425,Student 0425,student0425@university.edu,PHYS301,2025-05-15,3.1,active,2026-03-14T17:41:32.307679Z
426,Student 0426,student0426@university.edu,BIO110,2025-05-17,4.0,active,2026-03-16T17:41:32.307679Z
427,Student 0427,student0427@university.edu,CS101,2025-05-29,3.58,active,2026-03-15T17:41:32.307679Z
428,Student 0428,student0428@university.edu,MATH201,2025-07-09,2.66,active,2026-03-17T17:41:32.307679Z
429,Student 0429,student0429@university.edu,BIO110,2025-05-13,2.14,active,2026-03-15T17:41:32.307679Z
430,Student 0430,student0430@university.edu,MATH201,2025-05-18,2.73,active,2026-03-13T17:41:32.307679Z
431,Student 0431,student0431@university.edu,ENG202,2025-07-17,2.25,inactive,2026-03-13T17:41:32.307679Z
432,Student 0432,student0432@university.edu,CS101,2025-06-21,2.87,inactive,2026-03-15T17:41:32.307679Z
433,Student 0433,student0433@university.edu,ENG202,2025-06-24,3.42,active,2026-03-13T17:41:32.307679Z
434,Student 0434,student0434@university.edu,MATH201,2025-05-09,3.58,active,2026-03-13T17:41:32.307679Z
435,Student 0435,student0435@university.edu,ENG202,2025-07-17,3.32,active,2026-03-19T17:41:32.307679Z
436,Student 0436,student0436@university.edu,ENG202,2025-10-25,2.18,active,2026-03-16T17:41:32.307679Z
437,Student 0437,student0437@university.edu,CS101,2025-07-30,3.0,active,2026-03-13T17:41:32.307679Z
438,Student 0438,student0438@university.edu,CS101,2025-07-23,3.06,active,2026-03-13T17:41:32.307679Z
439,Student 0439,student0439@university.edu,ENG202,2025-10-24,3.28,inactive,2026-03-12T17:41:32.307679Z
440,Student 0440,student0440@university.edu,PHYS301,2025-07-27,2.88,active,2026-03-14T17:41:32.307679Z
441,Student 0441,student0441@university.edu,BIO110,2025-08-05,3.78,inactive,2026-03-18T17:41:32.307679Z
442,Student 0442,student0442@university.edu,BIO110,2025-10-19,2.96,active,2026-03-14T17:41:32.307679Z
443,Student 0443,student0443@university.edu,PHYS301,2025-10-09,3.43,active,2026-03-15T17:41:32.307679Z
444,Student 0444,student0444@university.edu,CS101,2025-11-03,3.89,dropout,2026-03-19T17:41:32.307679Z
445,Student 0445,student0445@university.edu,ENG202,2025-07-23,1.54,active,2026-03-17T17:41:32.307679Z
446,Student 0446,student0446@university.edu,MATH201,2025-08-30,2.7,active,2026-03-13T17:41:32.307679Z
447,Student 0447,student0447@university.edu,CS101,2025-05-23,1.81,inactive,2026-03-12T17:41:32.307679Z
448,Student 0448,student0448@university.edu,MATH201,2025-09-17,3.66,active,2026-03-12T17:41:32.307679Z
449,Student 0449,student0449@university.edu,BIO110,2025-06-08,2.24,active,2026-03-12T17:41:32.307679Z
450,Student 0450,student0450@university.edu,BIO110,2025-07-19,1.57,active,2026-03-15T17:41:32.307679Z
451,Student 0451,student0451@university.edu,CS101,2025-10-04,2.34,active,2026-03-17T17:41:32.307679Z
452,Student 0452,student0452@university.edu,ENG202,2025-06-08,2.98,active,2026-03-17T17:41:32.307679Z
453,Student 0453,student0453@university.edu,MATH201,2025-08-23,4.0,active,2026-03-18T17:41:32.307679Z
454,Student 0454,student0454@university.edu,PHYS301,2025-08-30,1.5,active,2026-03-14T17:41:32.307679Z
455,Student 0455,student0455@university.edu,BIO110,2025-06-19,1.5,inactive,2026-03-18T17:41:32.307679Z
456,Student 0456,student0456@university.edu,ENG202,2025-08-19,3.06,active,2026-03-18T17:41:32.307679Z
457,Student 0457,student0457@university.edu,MATH201,2025-08-24,2.04,active,2026-03-15T17:41:32.307679Z
458,Student 0458,student0458@university.edu,PHYS301,2025-05-11,3.94,active,2026-03-19T17:41:32.307679Z
459,Student 0459,student0459@university.edu,CS101,2025-06-18,2.29,active,2026-03-18T17:41:32.307679Z
460,Student 0460,student0460@university.edu,MATH201,2025-09-04,3.43,active,2026-03-13T17:41:32.307679Z
461,Student 0461,student0461@university.edu,BIO110,2025-08-06,4.0,active,2026-03-16T17:41:32.307679Z
462,Student 0462,student0462@university.edu,BIO110,2025-05-20,3.71,active,2026-03-12T17:41:32.307679Z
463,Student 0463,student0463@university.edu,CS101,2025-09-21,3.36,active,2026-03-15T17:41:32.307679Z
464,Student 0464,student0464@university.edu,BIO110,2025-09-16,2.0,inactive,2026-03-17T17:41:32.307679Z
465,Student 0465,student0465@university.edu,PHYS301,2025-11-05,3.12,active,2026-03-19T17:41:32.307679Z
466,Student 0466,student0466@university.edu,MATH201,2025-05-14,3.5,active,2026-03-15T17:41:32.307679Z
467,Student 0467,student0467@university.edu,BIO110,2025-09-08,1.69,active,2026-03-17T17:41:32.307679Z
468,Student 0468,student0468@university.edu,PHYS301,2025-09-03,2.56,active,2026-03-19T17:41:32.307679Z
469,Student 0469,student0469@university.edu,BIO110,2025-10-14,3.42,active,2026-03-17T17:41:32.307679Z
470,Student 0470,student0470@university.edu,MATH201,2025-08-06,1.79,active,2026-03-12T17:41:32.307679Z
471,Student 0471,student0471@university.edu,ENG202,2025-09-13,2.99,active,2026-03-18T17:41:32.307679Z
472,Student 0472,student0472@university.edu,PHYS301,2025-09-30,2.86,active,2026-03-15T17:41:32.307679Z
473,Student 0473,student0473@university.edu,BIO110,2025-06-16,3.47,active,2026-03-17T17:41:32.307679Z
474,Student 0474,student0474@university.edu,PHYS301,2025-07-06,2.19,dropout,2026-03-19T17:41:32.307679Z
475,Student 0475,student0475@university.edu,BIO110,2025-09-26,2.92,active,2026-03-19T17:41:32.307679Z
476,Student 0476,student0476@university.edu,MATH201,2025-06-23,2.26,dropout,2026-03-12T17:41:32.307679Z
477,Student 0477,student0477@university.edu,ENG202,2025-10-31,3.17,active,2026-03-12T17:41:32.307679Z
478,Student 0478,student0478@university.edu,CS101,2025-07-26,2.73,active,2026-03-15T17:41:32.307679Z
479,Student 0479,student0479@university.edu,CS101,2025-05-11,3.33,active,2026-03-12T17:41:32.307679Z
480,Student 0480,student0480@university.edu,ENG202,2025-05-29,3.46,active,2026-03-19T17:41:32.307679Z
481,Student 0481,student0481@university.edu,BIO110,2025-11-04,4.0,active,2026-03-16T17:41:32.307679Z
482,Student 0482,student0482@university.edu,ENG202,2025-08-27,3.04,active,2026-03-18T17:41:32.307679Z
483,Student 0483,student0483@university.edu,MATH201,2025-10-12,3.85,active,2026-03-16T17:41:32.307679Z
484,Student 0484,student0484@university.edu,PHYS301,2025-09-01,2.52,active,2026-03-13T17:41:32.307679Z
485,Student 0485,student0485@university.edu,PHYS301,2025-07-28,2.42,active,2026-03-16T17:41:32.307679Z
486,Student 0486,student0486@university.edu,CS101,2025-05-25,3.15,dropout,2026-03-12T17:41:32.307679Z
487,Student 0487,student0487@university.edu,CS101,2025-07-28,2.26,active,2026-03-12T17:41:32.307679Z
488,Student 0488,student0488@university.edu,MATH201,2025-10-18,3.7,active,2026-03-18T17:41:32.307679Z
489,Student 0489,student0489@university.edu,PHYS301,2025-06-17,4.0,inactive,2026-03-12T17:41:32.307679Z
490,Student 0490,student0490@university.edu,MATH201,2025-09-15,2.69,inactive,2026-03-19T17:41:32.307679Z
491,Student 0491,student0491@university.edu,PHYS301,2025-10-28,4.0,active,2026-03-12T17:41:32.307679Z
492,Student 0492,student0492@university.edu,MATH201,2025-08-20,2.44,active,2026-03-15T17:41:32.307679Z
493,Student 0493,student0493@university.edu,ENG202,2025-10-03,3.02,active,2026-03-13T17:41:32.307679Z
494,Student 0494,student0494@university.edu,PHYS301,2025-09-28,1.74,active,2026-03-18T17:41:32.307679Z
495,Student 0495,student0495@university.edu,ENG202,2025-08-16,2.02,active,2026-03-13T17:41:32.307679Z
496,Student 0496,student0496@university.edu,ENG202,2025-08-12,3.88,active,2026-03-18T17:41:32.307679Z
497,Student 0497,student0497@university.edu,MATH201,2025-10-20,2.26,dropout,2026-03-18T17:41:32.307679Z
498,Student 0498,student0498@university.edu,PHYS301,2025-11-01,4.0,active,2026-03-19T17:41:32.307679Z
499,Student 0499,student0499@university.edu,BIO110,2025-09-11,1.83,active,2026-03-18T17:41:32.307679Z
500,Student 0500,student0500@university.edu,CS101,2025-06-03,4.0,active,2026-03-15T17:41:32.307679Z
